,address,amount,percentOfTotal
191,9ej1HGtyCPHHrEtQkpVavcfCgEEhmYBNUghb7PqpsVkdKLDWUNh,124,0.0248
192,9fbKrErwdJzzrsb7UVoEfpSEUmKRzV468idoCXH7J4rB89WNmGb,119,0.0238
193,9fPqvqsa6s6UNJSx8df2EU7u4rVWCcZGRcd99DCKyUEnex53e74,118,0.0236
194,9fZNmCjYEuiytzVhgi813AZJiLL4ceMDLT8XRUxsBx62hzn2kGZ,116,0.0232
195,9gpt9jtiuVbBLEMF3CV6kEccAquNBmhPn29LRCaGwjQnRbzEQsf,111,0.0222
196,9gJtfqCexc5zfm6JuGSdyBQdkhU8LfmRe5RbVFk1R3YNwcqZCfA,110,0.022
197,9hEHsvGRjj6gzg3EvDT8GyRHMoY4FxYp1Tt44fHLiEyWLg19E6d,109,0.0218
198,9gSZJqHXQccNSZpd1tQHuUvAGFooFqiNszLtr2XNGkkYTWCf4ao,108,0.0216
199,9fDysgcTFs2aPnAhgWnWdoCv8taVsqRsRn26ymyXKtV5dt34jEV,106,0.0212
200,9fab3cGr9TMBJ7zD7fm4CxHkQpZ3iKppJkVRfzfRJAm15DoKzhJ,102,0.0204
201,9fFZG2Lp17PjC6MVpHzrjJNG6rGXCmjQKffPZh9hcc4nLboGSRN,101,0.0202
202,9gsdf7PNhF3FVCkB18oAJ9pxthSS2yqbHMVZXzSzZ1WYq81Lf63,100,0.02
203,9fyR32eerGxonuE5JowV8xY7zYod41XLNr7oZx1oPzvBmZqBSQr,100,0.02
204,9eZnViDCjyiCYtwGnNSCoQsYiJBwzM3SWZN5SCzVmzqD2GyVH6s,100,0.02
205,9g5UZeKjcavSeEzxxcEKY9EZJhcWnssTub9a4EZVpA1Mz5jtW6V,100,0.02
206,9iMqAdnsoeqmrb6mGHBbA9juWPtgsj7dd1EnuippqiWkrr3STsq,100,0.02
207,9gizspfsWFNN7BHZhopXmUt8Y7j7bEBobWHX5M9uHBXkqfDABsm,100,0.02
208,9grZU5mvu8eRcWBGNzveHSHgb7pWS4ZHHKEQDAagyURMM1sNtrW,100,0.02
209,9gD2ECMEFwT4vTScPVRAvkn1itWtE224TveyYFhJjhMdaKMP6zR,100,0.02
